recording_id,audio_video,subject,month,start,end,is_subregion,is_top_3_hours,is_top_4_hours,is_surplus,position,subregion_rank,duration,region_id
audio_01_16,audio,01,16,3000000,6600000,TRUE,TRUE,NA,FALSE,1,1,01:00:00,audio_01_16_3000000_6600000
audio_01_16,audio,01,16,7200000,10800000,TRUE,TRUE,NA,FALSE,2,3,01:00:00,audio_01_16_7200000_10800000
audio_01_16,audio,01,16,33600000,37200000,TRUE,TRUE,NA,FALSE,5,2,01:00:00,audio_01_16_33600000_37200000
audio_01_17,audio,01,17,2100000,5700000,TRUE,TRUE,NA,FALSE,1,1,01:00:00,audio_01_17_2100000_5700000
audio_01_17,audio,01,17,8400000,12000000,TRUE,TRUE,NA,FALSE,2,3,01:00:00,audio_01_17_8400000_12000000
audio_01_17,audio,01,17,12000000,15600000,TRUE,TRUE,NA,FALSE,3,2,01:00:00,audio_01_17_12000000_15600000
audio_02_06,audio,02,06,0,3300000,FALSE,FALSE,FALSE,TRUE,NA,NA,00:55:00,audio_02_06_0_3300000
audio_02_06,audio,02,06,3300000,6900000,TRUE,TRUE,TRUE,FALSE,1,2,01:00:00,audio_02_06_3300000_6900000
audio_02_06,audio,02,06,6900000,10200000,FALSE,FALSE,FALSE,TRUE,NA,NA,00:55:00,audio_02_06_6900000_10200000
audio_02_06,audio,02,06,10200000,13734250,TRUE,TRUE,TRUE,FALSE,2,3,00:58:54,audio_02_06_10200000_13734250
audio_02_06,audio,02,06,17668110,18826140,FALSE,FALSE,FALSE,TRUE,NA,NA,00:19:18,audio_02_06_17668110_18826140
audio_02_06,audio,02,06,20508090,21741780,FALSE,FALSE,FALSE,TRUE,NA,NA,00:20:33,audio_02_06_20508090_21741780
audio_02_06,audio,02,06,21807740,23400000,FALSE,FALSE,FALSE,TRUE,NA,NA,00:26:32,audio_02_06_21807740_23400000
audio_02_06,audio,02,06,23400000,27000000,TRUE,TRUE,TRUE,FALSE,3,1,01:00:00,audio_02_06_23400000_27000000
audio_02_06,audio,02,06,27000000,30600000,TRUE,FALSE,TRUE,FALSE,4,4,01:00:00,audio_02_06_27000000_30600000
