recording_id,audio_video,subject,month,start_dt,end_dt,start_ms,end_ms,sub_recording_id
audio_09_12,audio,09,12,1920-01-01 08:01:28,1920-01-02 00:01:27,0,57599990,audio_09_12_0
audio_09_13,audio,09,13,1920-01-01 08:18:06,1920-01-02 00:18:05,0,57599990,audio_09_13_0
audio_09_14,audio,09,14,1920-01-01 09:28:50,1920-01-02 01:28:49,0,57599990,audio_09_14_0
audio_09_15,audio,09,15,1920-01-01 08:08:21,1920-01-01 17:56:10,0,35269430,audio_09_15_0
audio_09_16,audio,09,16,1920-01-01 08:16:34,1920-01-01 17:17:19,0,32445050,audio_09_16_0
audio_09_17,audio,09,17,1920-01-01 08:13:12,1920-01-01 19:18:26,0,39914990,audio_09_17_0
audio_10_06,audio,10,06,1920-01-01 08:39:39,1920-01-01 20:38:43,0,43144990,audio_10_06_0
audio_10_07,audio,10,07,1920-01-01 10:18:21,1920-01-01 23:11:48,0,46407610,audio_10_07_0
audio_10_08,audio,10,08,1920-01-01 06:54:00,1920-01-01 22:53:59,0,57599990,audio_10_08_0
audio_10_09,audio,10,09,1920-01-01 10:28:41,1920-01-02 02:28:40,0,57599990,audio_10_09_0
audio_10_10,audio,10,10,1920-01-01 06:39:02,1920-01-01 22:39:01,0,57599990,audio_10_10_0
audio_10_11,audio,10,11,1920-01-01 06:30:10,1920-01-01 20:18:51,0,49721610,audio_10_11_0
audio_10_12,audio,10,12,1920-01-01 06:36:35,1920-01-01 22:36:34,0,57599990,audio_10_12_0
audio_10_13,audio,10,13,1920-01-01 06:48:04,1920-01-01 22:48:03,0,57599990,audio_10_13_0
audio_10_14,audio,10,14,1920-01-01 07:07:37,1920-01-01 23:07:36,0,57599990,audio_10_14_0
audio_10_15,audio,10,15,1920-01-01 09:00:44,1920-01-02 01:00:43,0,57599990,audio_10_15_0
audio_10_16,audio,10,16,1920-01-01 08:14:33,1920-01-02 00:14:32,0,57599990,audio_10_16_0
audio_10_17,audio,10,17,1920-01-01 07:08:45,1920-01-01 23:08:44,0,57599990,audio_10_17_0
audio_11_06,audio,11,06,1920-01-01 10:24:42,1920-01-01 22:46:14,0,44492480,audio_11_06_0
audio_11_06,audio,11,06,1920-01-01 22:46:15,1920-01-01 22:46:20,44492480,44498430,audio_11_06_44492480
audio_11_07,audio,11,07,1920-01-01 09:12:29,1920-01-01 21:40:54,0,44905610,audio_11_07_0
audio_11_08,audio,11,08,1920-01-01 09:40:41,1920-01-01 21:53:00,0,43939930,audio_11_08_0
audio_11_09,audio,11,09,1920-01-01 08:04:25,1920-01-01 20:11:28,0,43623680,audio_11_09_0
audio_11_10,audio,11,10,1920-01-01 08:13:53,1920-01-01 20:05:25,0,42692800,audio_11_10_0
audio_11_11,audio,11,11,1920-01-01 07:14:49,1920-01-01 19:44:32,0,44983740,audio_11_11_0
audio_11_12,audio,11,12,1920-01-01 06:53:28,1920-01-01 20:17:59,0,48271550,audio_11_12_0
audio_11_13,audio,11,13,1920-01-01 06:06:41,1920-01-01 20:13:28,0,50807360,audio_11_13_0
audio_11_14,audio,11,14,1920-01-01 07:48:53,1920-01-01 20:04:13,0,44120430,audio_11_14_0
audio_11_15,audio,11,15,1920-01-01 07:10:19,1920-01-01 18:57:28,0,42429360,audio_11_15_0
audio_11_16,audio,11,16,1920-01-01 07:14:01,1920-01-01 21:19:11,0,50710800,audio_11_16_0
audio_11_17,audio,11,17,1920-01-01 09:02:10,1920-01-01 20:37:54,0,41744740,audio_11_17_0
audio_12_06,audio,12,06,1920-01-01 11:05:05,1920-01-01 11:05:07,0,2420,audio_12_06_0
audio_12_06,audio,12,06,1920-01-01 11:05:19,1920-01-02 03:05:16,2420,57599990,audio_12_06_2420
audio_12_07,audio,12,07,1920-01-01 08:51:48,1920-01-02 00:51:47,0,57599990,audio_12_07_0
audio_12_08,audio,12,08,1920-01-01 09:04:48,1920-01-02 01:04:47,0,57599990,audio_12_08_0
audio_12_09,audio,12,09,1920-01-01 07:21:34,1920-01-01 23:21:33,0,57599990,audio_12_09_0
audio_12_10,audio,12,10,1920-01-01 07:53:25,1920-01-01 23:53:24,0,57599990,audio_12_10_0
audio_12_11,audio,12,11,1920-01-01 07:49:16,1920-01-01 07:52:06,0,170040,audio_12_11_0
audio_12_11,audio,12,11,1920-01-02 07:29:18,1920-01-02 23:26:27,170040,57599990,audio_12_11_170040
audio_12_12,audio,12,12,1920-01-01 07:32:56,1920-01-01 23:32:55,0,57599990,audio_12_12_0
audio_12_13,audio,12,13,1920-01-01 07:36:32,1920-01-01 19:56:42,0,44410930,audio_12_13_0
audio_12_14,audio,12,14,1920-01-01 10:18:46,1920-01-02 02:18:45,0,57599990,audio_12_14_0
audio_12_15,audio,12,15,1920-01-01 07:54:28,1920-01-01 22:22:10,0,52062610,audio_12_15_0
audio_12_16,audio,12,16,1920-01-01 12:09:22,1920-01-01 21:43:44,0,34462430,audio_12_16_0
audio_12_17,audio,12,17,1920-01-01 09:14:19,1920-01-02 01:14:18,0,57599990,audio_12_17_0
audio_13_06,audio,13,06,1920-01-01 08:59:10,1920-01-01 20:31:00,0,41510930,audio_13_06_0
audio_13_07,audio,13,07,1920-01-01 09:34:05,1920-01-01 21:34:46,0,43241050,audio_13_07_0
audio_13_08,audio,13,08,1920-01-01 07:04:01,1920-01-01 19:09:23,0,43522490,audio_13_08_0
audio_13_09,audio,13,09,1920-01-01 06:19:59,1920-01-01 19:29:13,0,47354300,audio_13_09_0
audio_13_10,audio,13,10,1920-01-01 07:51:07,1920-01-01 20:16:49,0,44742240,audio_13_10_0
audio_13_11,audio,13,11,1920-01-01 07:42:43,1920-01-01 20:03:16,0,44433300,audio_13_11_0
audio_13_12,audio,13,12,1920-01-01 10:27:34,1920-01-01 19:31:38,0,32644110,audio_13_12_0
audio_13_13,audio,13,13,1920-01-01 08:03:09,1920-01-01 19:24:31,0,40882180,audio_13_13_0
audio_13_14,audio,13,14,1920-01-01 07:36:12,1920-01-01 19:46:08,0,43796300,audio_13_14_0
audio_13_15,audio,13,15,1920-01-01 08:34:54,1920-01-01 21:37:47,0,46973680,audio_13_15_0
audio_13_16,audio,13,16,1920-01-01 14:30:17,1920-01-01 22:08:02,0,27465850,audio_13_16_0
audio_13_16,audio,13,16,1920-01-02 08:52:33,1920-01-02 09:06:42,27465850,28314860,audio_13_16_27465850
audio_13_17,audio,13,17,1920-01-01 09:55:19,1920-01-02 01:55:18,0,57599990,audio_13_17_0
audio_14_06,audio,14,06,1920-01-01 11:19:43,1920-01-02 03:19:42,0,57599990,audio_14_06_0
audio_14_07,audio,14,07,1920-01-01 11:37:36,1920-01-02 03:37:35,0,57599990,audio_14_07_0
audio_14_08,audio,14,08,1920-01-01 12:43:48,1920-01-02 04:43:47,0,57599990,audio_14_08_0
audio_14_09,audio,14,09,1920-01-01 09:15:10,1920-01-02 01:15:09,0,57599990,audio_14_09_0
audio_14_10,audio,14,10,1920-01-01 08:28:58,1920-01-02 00:28:57,0,57599990,audio_14_10_0
audio_14_11,audio,14,11,1920-01-01 09:01:04,1920-01-02 01:01:03,0,57599990,audio_14_11_0
audio_14_12,audio,14,12,1920-01-01 10:33:06,1920-01-02 02:33:05,0,57599990,audio_14_12_0
audio_14_13,audio,14,13,1920-01-01 11:36:11,1920-01-02 03:36:10,0,57599990,audio_14_13_0
audio_14_14,audio,14,14,1920-01-01 13:20:01,1920-01-02 05:20:00,0,57599990,audio_14_14_0
audio_14_15,audio,14,15,1920-01-01 12:06:17,1920-01-02 04:06:16,0,57599990,audio_14_15_0
audio_14_16,audio,14,16,1920-01-01 17:37:39,1920-01-02 09:37:38,0,57599990,audio_14_16_0
audio_14_17,audio,14,17,1920-01-01 14:32:42,1920-01-02 06:32:41,0,57599990,audio_14_17_0
audio_15_06,audio,15,06,1920-01-01 08:46:30,1920-01-02 00:46:29,0,57599990,audio_15_06_0
audio_15_07,audio,15,07,1920-01-01 08:33:00,1920-01-02 00:32:59,0,57599990,audio_15_07_0
audio_15_08,audio,15,08,1920-01-01 09:44:13,1920-01-02 01:44:12,0,57599990,audio_15_08_0
audio_15_09,audio,15,09,1920-01-01 08:35:07,1920-01-02 00:35:06,0,57599990,audio_15_09_0
audio_15_10,audio,15,10,1920-01-01 09:15:15,1920-01-02 01:15:14,0,57599990,audio_15_10_0
audio_15_11,audio,15,11,1920-01-01 08:26:15,1920-01-02 00:26:14,0,57599990,audio_15_11_0
audio_15_12,audio,15,12,1920-01-01 08:20:55,1920-01-02 00:20:54,0,57599990,audio_15_12_0
audio_15_13,audio,15,13,1920-01-01 07:50:08,1920-01-01 23:50:07,0,57599990,audio_15_13_0
audio_15_14,audio,15,14,1920-01-01 09:12:54,1920-01-02 01:12:53,0,57599990,audio_15_14_0
audio_15_15,audio,15,15,1920-01-01 09:12:54,1920-01-02 01:12:53,0,57599990,audio_15_15_0
audio_15_16,audio,15,16,1920-01-01 09:03:05,1920-01-02 01:03:04,0,57599990,audio_15_16_0
audio_15_17,audio,15,17,1920-01-01 09:49:55,1920-01-02 01:49:54,0,57599990,audio_15_17_0
audio_16_06,audio,16,06,1920-01-01 09:23:29,1920-01-02 01:23:28,0,57599990,audio_16_06_0
audio_16_07,audio,16,07,1920-01-01 08:33:16,1920-01-02 00:33:15,0,57599990,audio_16_07_0
audio_16_08,audio,16,08,1920-01-01 08:27:36,1920-01-02 00:27:35,0,57599990,audio_16_08_0
audio_16_09,audio,16,09,1920-01-01 09:18:43,1920-01-02 01:18:42,0,57599990,audio_16_09_0
audio_16_10,audio,16,10,1920-01-01 08:04:29,1920-01-02 00:04:28,0,57599990,audio_16_10_0
audio_16_11,audio,16,11,1920-01-01 09:41:30,1920-01-02 01:41:29,0,57599990,audio_16_11_0
audio_16_12,audio,16,12,1920-01-01 08:55:14,1920-01-02 00:55:13,0,57599990,audio_16_12_0
audio_16_13,audio,16,13,1920-01-01 08:14:21,1920-01-02 00:14:20,0,57599990,audio_16_13_0
audio_16_14,audio,16,14,1920-01-01 08:53:43,1920-01-02 00:53:42,0,57599990,audio_16_14_0
audio_16_15,audio,16,15,1920-01-01 09:32:40,1920-01-02 01:32:39,0,57599990,audio_16_15_0
audio_16_16,audio,16,16,1920-01-01 10:31:45,1920-01-02 02:31:44,0,57599990,audio_16_16_0
audio_16_17,audio,16,17,1920-01-01 09:36:06,1920-01-02 01:36:05,0,57599990,audio_16_17_0
audio_17_06,audio,17,06,1920-01-01 07:27:59,1920-01-01 23:27:58,0,57599990,audio_17_06_0
audio_17_07,audio,17,07,1920-01-01 07:02:30,1920-01-01 23:02:29,0,57599990,audio_17_07_0
audio_17_08,audio,17,08,1920-01-01 09:33:39,1920-01-02 01:33:38,0,57599990,audio_17_08_0
audio_17_09,audio,17,09,1920-01-01 08:21:12,1920-01-02 00:21:11,0,57599990,audio_17_09_0
audio_17_10,audio,17,10,1920-01-01 07:04:38,1920-01-01 23:04:37,0,57599990,audio_17_10_0
audio_17_11,audio,17,11,1920-01-01 10:49:43,1920-01-02 02:49:42,0,57599990,audio_17_11_0
audio_17_12,audio,17,12,1920-01-01 08:35:41,1920-01-02 00:35:40,0,57599990,audio_17_12_0
audio_17_13,audio,17,13,1920-01-01 06:27:27,1920-01-01 22:27:26,0,57599990,audio_17_13_0
audio_17_14,audio,17,14,1920-01-01 09:24:22,1920-01-02 01:24:21,0,57599990,audio_17_14_0
audio_17_15,audio,17,15,1920-01-01 07:42:37,1920-01-01 23:42:36,0,57599990,audio_17_15_0
audio_17_16,audio,17,16,1920-01-01 09:01:28,1920-01-02 01:01:27,0,57599990,audio_17_16_0
audio_17_17,audio,17,17,1920-01-01 08:55:43,1920-01-02 00:55:42,0,57599990,audio_17_17_0
audio_18_06,audio,18,06,1920-01-01 07:48:15,1920-01-01 22:08:12,0,51597740,audio_18_06_0
audio_18_07,audio,18,07,1920-01-01 07:47:48,1920-01-01 20:29:58,0,45730680,audio_18_07_0
audio_18_08,audio,18,08,1920-01-01 07:58:53,1920-01-01 21:00:39,0,46906990,audio_18_08_0
audio_18_09,audio,18,09,1920-01-01 07:49:19,1920-01-01 19:59:40,0,43821990,audio_18_09_0
audio_18_10,audio,18,10,1920-01-01 07:34:33,1920-01-01 20:36:09,0,46896300,audio_18_10_0
audio_18_11,audio,18,11,1920-01-01 06:59:21,1920-01-01 22:20:39,0,55278990,audio_18_11_0
audio_18_12,audio,18,12,1920-01-01 07:14:22,1920-01-01 19:43:29,0,44947170,audio_18_12_0
audio_18_12,audio,18,12,1920-01-01 19:43:30,1920-01-01 19:43:33,44947170,44950240,audio_18_12_44947170
audio_18_13,audio,18,13,1920-01-01 07:33:20,1920-01-01 20:26:33,0,46393360,audio_18_13_0
audio_18_14,audio,18,14,1920-01-01 08:59:24,1920-01-01 21:33:52,0,45268550,audio_18_14_0
audio_18_15,audio,18,15,1920-01-01 08:32:46,1920-01-01 20:04:56,0,41530180,audio_18_15_0
audio_18_16,audio,18,16,1920-01-01 08:21:34,1920-01-01 21:33:30,0,47516550,audio_18_16_0
audio_18_17,audio,18,17,1920-01-01 11:37:13,1920-01-01 22:03:52,0,37599550,audio_18_17_0
audio_19_06,audio,19,06,1920-01-01 07:21:32,1920-01-01 19:16:19,0,42887180,audio_19_06_0
audio_19_07,audio,19,07,1920-01-01 07:43:26,1920-01-01 18:39:31,0,39365180,audio_19_07_0
audio_19_08,audio,19,08,1920-01-01 07:16:00,1920-01-01 19:20:17,0,43457050,audio_19_08_0
audio_19_09,audio,19,09,1920-01-01 07:52:42,1920-01-01 19:41:16,0,42514800,audio_19_09_0
audio_19_10,audio,19,10,1920-01-01 07:34:02,1920-01-01 22:03:48,0,52186300,audio_19_10_0
audio_19_11,audio,19,11,1920-01-01 06:57:11,1920-01-01 18:59:08,0,43317110,audio_19_11_0
audio_19_12,audio,19,12,1920-01-01 06:25:24,1920-01-01 19:16:41,0,46277610,audio_19_12_0
audio_19_13,audio,19,13,1920-01-01 06:31:58,1920-01-01 19:24:52,0,46374300,audio_19_13_0
audio_19_14,audio,19,14,1920-01-01 07:32:59,1920-01-01 19:24:49,0,42710300,audio_19_14_0
audio_19_15,audio,19,15,1920-01-01 09:27:44,1920-01-01 20:38:04,0,40220110,audio_19_15_0
audio_19_16,audio,19,16,1920-01-01 08:18:12,1920-01-01 19:58:17,0,42005860,audio_19_16_0
audio_19_17,audio,19,17,1920-01-01 09:17:30,1920-01-01 20:23:27,0,39957610,audio_19_17_0
audio_20_06,audio,20,06,1920-01-01 07:29:19,1920-01-01 23:29:18,0,57599990,audio_20_06_0
audio_20_07,audio,20,07,1920-01-01 07:02:32,1920-01-01 23:02:31,0,57599990,audio_20_07_0
audio_20_08,audio,20,08,1920-01-01 08:01:35,1920-01-02 00:01:34,0,57599990,audio_20_08_0
audio_20_09,audio,20,09,1920-01-01 08:25:20,1920-01-02 00:25:19,0,57599990,audio_20_09_0
audio_20_10,audio,20,10,1920-01-01 08:54:36,1920-01-02 00:54:35,0,57599990,audio_20_10_0
audio_20_11,audio,20,11,1920-01-01 08:16:11,1920-01-02 00:16:10,0,57599990,audio_20_11_0
audio_20_12,audio,20,12,1920-01-01 08:35:13,1920-01-02 00:35:12,0,57599990,audio_20_12_0
audio_20_13,audio,20,13,1920-01-01 08:52:38,1920-01-02 00:52:37,0,57599990,audio_20_13_0
audio_20_14,audio,20,14,1920-01-01 09:20:43,1920-01-02 01:20:42,0,57599990,audio_20_14_0
audio_20_15,audio,20,15,1920-01-01 10:16:08,1920-01-02 02:16:07,0,57599990,audio_20_15_0
audio_20_16,audio,20,16,1920-01-01 10:16:28,1920-01-02 02:16:27,0,57599990,audio_20_16_0
audio_20_17,audio,20,17,1920-01-01 09:40:42,1920-01-02 01:40:41,0,57599990,audio_20_17_0
audio_21_06,audio,21,06,1920-01-01 07:31:22,1920-01-01 21:45:40,0,51258740,audio_21_06_0
audio_21_07,audio,21,07,1920-01-01 06:44:58,1920-01-01 18:18:37,0,41619800,audio_21_07_0
audio_21_08,audio,21,08,1920-01-01 06:20:48,1920-01-01 19:08:36,0,46068110,audio_21_08_0
